DDI-DrugBank.d481.s0|82-86|EMCYT|brand
DDI-DrugBank.d234.s8|60-69|flumazenil|drug
DDI-DrugBank.d234.s9|42-50|ROMAZICON|brand
DDI-DrugBank.d234.s9|86-99|benzodiazepine|drug
DDI-DrugBank.d234.s9|132-135|body|brand
DDI-DrugBank.d234.s10|88-97|flumazenil|drug
DDI-DrugBank.d234.s11|119-126|diazepam|drug
DDI-DrugBank.d234.s11|195-203|midazolam|drug
DDI-DrugBank.d234.s12|105-111|regular|brand
DDI-DrugBank.d234.s12|215-228|benzodiazepine|drug
DDI-DrugBank.d234.s12|231-237|alcohol|brand
DDI-DrugBank.d234.s12|322-330|ROMAZICON|brand
DDI-MedLine.d63.s0|36-43|naloxone|drug
DDI-MedLine.d63.s0|130-137|morphine|drug
DDI-MedLine.d63.s1|46-52|opioids|group
DDI-MedLine.d63.s1|104-112|analgesic|brand
DDI-MedLine.d63.s2|64-71|naloxone|drug
DDI-MedLine.d63.s2|163-170|morphine|drug
DDI-MedLine.d63.s3|49-56|morphine|drug
DDI-MedLine.d63.s3|115-118|heat|drug
DDI-MedLine.d63.s4|25-32|naloxone|drug
DDI-MedLine.d63.s4|219-226|naloxone|drug
DDI-MedLine.d63.s5|13-16|hand|drug
DDI-MedLine.d63.s5|31-38|naloxone|drug
DDI-MedLine.d63.s5|145-152|morphine|drug
DDI-MedLine.d63.s6|30-37|naloxone|drug
DDI-MedLine.d63.s6|192-199|morphine|drug
DDI-MedLine.d63.s7|225-232|morphine|drug
DDI-MedLine.d63.s8|57-64|morphine|drug
DDI-DrugBank.d67.s0|140-152|desloratadine|drug
DDI-DrugBank.d67.s0|223-234|erythromycin|drug
DDI-DrugBank.d67.s0|260-271|ketoconazole|drug
DDI-DrugBank.d67.s1|76-88|desloratadine|drug
DDI-DrugBank.d67.s1|148-159|azithromycin|drug
DDI-DrugBank.d67.s1|224-233|fluoxetine|drug
DDI-DrugBank.d67.s1|303-312|fluoxetine|drug
DDI-DrugBank.d67.s1|329-338|cimetidine|drug
DDI-DrugBank.d67.s2|42-42|C|brand
DDI-DrugBank.d67.s2|52-54|AUC|brand
DDI-DrugBank.d67.s2|69-81|desloratadine|drug
DDI-DrugBank.d67.s2|193-205|desloratadine|drug
DDI-DrugBank.d67.s2|280-281|QT|brand
DDI-DrugBank.d67.s3|19-31|Desloratadine|drug
DDI-DrugBank.d67.s5|0-12|Desloratadine|drug
DDI-DrugBank.d67.s7|0-0|C|brand
DDI-DrugBank.d67.s7|6-8|AUC|brand
DDI-DrugBank.d67.s7|19-19|C|brand
DDI-DrugBank.d67.s7|25-27|AUC|brand
DDI-DrugBank.d67.s8|0-11|Erythromycin|drug
DDI-DrugBank.d67.s11|0-11|Ketoconazole|drug
DDI-DrugBank.d67.s14|0-11|Azithromycin|drug
DDI-DrugBank.d67.s15|22-23|QD|brand
DDI-DrugBank.d67.s17|0-9|Fluoxetine|drug
DDI-DrugBank.d67.s18|7-8|QD|brand
DDI-DrugBank.d67.s20|0-9|Cimetidine|drug
DDI-DrugBank.d196.s0|15-21|PEGASYS|brand
DDI-DrugBank.d196.s0|104-107|P450|drug
DDI-DrugBank.d196.s0|109-111|1A2|brand
DDI-DrugBank.d196.s0|135-146|theophylline|drug
DDI-DrugBank.d196.s0|148-150|AUC|brand
DDI-DrugBank.d196.s1|0-11|Theophylline|drug
DDI-DrugBank.d196.s1|13-17|serum|group
DDI-DrugBank.d196.s1|114-125|theophylline|drug
DDI-DrugBank.d196.s1|131-137|PEGASYS|brand
DDI-DrugBank.d196.s2|83-85|CYP|brand
DDI-DrugBank.d196.s2|87-89|2C9|brand
DDI-DrugBank.d196.s2|92-94|CYP|brand
DDI-DrugBank.d196.s2|96-99|2C19|brand
DDI-DrugBank.d196.s2|102-104|CYP|brand
DDI-DrugBank.d196.s2|106-108|2D6|brand
DDI-DrugBank.d196.s2|113-115|CYP|brand
DDI-DrugBank.d196.s2|117-119|3A4|brand
DDI-DrugBank.d196.s3|35-35|C|brand
DDI-DrugBank.d196.s3|50-56|PEGASYS|brand
DDI-DrugBank.d196.s3|78-84|COPEGUS|brand
DDI-DrugBank.d196.s3|87-93|PEGASYS|brand
DDI-DrugBank.d196.s3|120-128|ribavirin|drug
DDI-DrugBank.d196.s4|21-30|Didanosine|drug
DDI-DrugBank.d196.s4|53-59|COPEGUS|brand
DDI-DrugBank.d196.s4|65-74|didanosine|drug
DDI-DrugBank.d196.s6|0-8|Stavudine|drug
DDI-DrugBank.d196.s6|14-23|Zidovudine|drug
DDI-DrugBank.d196.s6|25-33|Ribavirin|drug
DDI-DrugBank.d196.s6|85-93|stavudine|drug
DDI-DrugBank.d196.s6|99-108|zidovudine|drug
DDI-DrugBank.d196.s6|118-120|HIV|brand
DDI-DrugBank.d196.s7|30-38|ribavirin|drug
DDI-DrugBank.d196.s8|68-74|PEGASYS|brand
DDI-DrugBank.d196.s9|12-18|PEGASYS|brand
DDI-DrugBank.d196.s9|34-36|DNA|group
DDI-DrugBank.d196.s10|9-17|Ribavirin|drug
DDI-DrugBank.d196.s10|19-27|Ribavirin|drug
DDI-DrugBank.d196.s11|30-38|ribavirin|drug
DDI-DrugBank.d196.s12|5-7|p53|drug
DDI-DrugBank.d196.s12|102-110|ribavirin|drug
DDI-DrugBank.d196.s13|14-17|body|brand
DDI-DrugBank.d196.s13|105-113|ribavirin|drug
DDI-DrugBank.d196.s14|0-0|A|brand
DDI-DrugBank.d196.s14|56-64|ribavirin|drug
DDI-DrugBank.d196.s15|36-42|PEGASYS|brand
DDI-DrugBank.d196.s16|149-155|PEGASYS|brand
DDI-DrugBank.d196.s16|278-281|body|brand
DDI-DrugBank.d196.s17|108-119|progesterone|drug
DDI-DrugBank.d196.s17|156-162|PEGASYS|brand
DDI-DrugBank.d196.s18|0-0|A|brand
DDI-DrugBank.d196.s19|51-57|PEGASYS|brand
DDI-DrugBank.d196.s20|15-21|PEGASYS|brand
DDI-DrugBank.d196.s21|105-114|interferon|drug
DDI-DrugBank.d196.s22|30-30|C|brand
DDI-DrugBank.d196.s22|32-38|PEGASYS|brand
DDI-DrugBank.d196.s23|14-23|interferon|drug
DDI-DrugBank.d196.s25|0-6|PEGASYS|brand
DDI-DrugBank.d196.s26|53-59|PEGASYS|brand
DDI-DrugBank.d196.s27|0-6|PEGASYS|brand
DDI-DrugBank.d196.s28|0-6|PEGASYS|brand
DDI-DrugBank.d196.s29|20-20|X|brand
DDI-DrugBank.d196.s29|32-40|Ribavirin|drug
DDI-DrugBank.d196.s29|47-63|CONTRAINDICATIONS|brand
DDI-DrugBank.d196.s29|173-181|ribavirin|drug
DDI-DrugBank.d196.s30|0-6|COPEGUS|brand
DDI-DrugBank.d196.s31|161-167|COPEGUS|brand
DDI-DrugBank.d196.s32|57-65|ribavirin|drug
DDI-DrugBank.d196.s33|47-55|ribavirin|drug
DDI-DrugBank.d196.s34|152-158|PEGASYS|brand
DDI-DrugBank.d196.s34|164-170|COPEGUS|brand
DDI-DrugBank.d196.s35|46-52|PEGASYS|brand
DDI-DrugBank.d196.s35|84-90|COPEGUS|brand
DDI-DrugBank.d196.s36|0-6|PEGASYS|brand
DDI-DrugBank.d196.s36|24-30|alcohol|brand
DDI-DrugBank.d196.s37|7-13|alcohol|brand
DDI-DrugBank.d196.s39|20-26|PEGASYS|brand
DDI-DrugBank.d196.s39|57-63|COPEGUS|brand
DDI-DrugBank.d196.s40|35-45|interferons|group
DDI-DrugBank.d196.s40|56-58|CNS|brand
DDI-DrugBank.d196.s40|186-192|PEGASYS|brand
DDI-DrugBank.d196.s41|0-6|PEGASYS|brand
DDI-DrugBank.d196.s41|12-18|COPEGUS|brand
DDI-DrugBank.d196.s42|75-78|care|brand
DDI-DrugBank.d196.s43|0-6|PEGASYS|brand
DDI-DrugBank.d196.s43|53-62|creatinine|drug
DDI-DrugBank.d196.s43|89-95|COPEGUS|brand
DDI-DrugBank.d196.s43|141-150|creatinine|drug
DDI-DrugBank.d187.s0|0-3|Food|group
DDI-DrugBank.d187.s0|6-14|Isoniazid|drug
DDI-DrugBank.d187.s0|48-51|food|group
DDI-DrugBank.d187.s1|47-55|isoniazid|drug
DDI-DrugBank.d187.s1|105-108|food|group
DDI-DrugBank.d187.s2|0-12|Acetaminophen|drug
DDI-DrugBank.d187.s2|15-15|A|brand
DDI-DrugBank.d187.s2|34-46|acetaminophen|drug
DDI-DrugBank.d187.s2|93-101|Isoniazid|drug
DDI-DrugBank.d187.s3|102-110|isoniazid|drug
DDI-DrugBank.d187.s3|116-128|acetaminophen|drug
DDI-DrugBank.d187.s4|40-48|isoniazid|drug
DDI-DrugBank.d187.s4|62-70|P-450IIE1|brand
DDI-DrugBank.d187.s5|38-46|isoniazid|drug
DDI-DrugBank.d187.s5|73-81|P-450IIE1|brand
DDI-DrugBank.d187.s5|170-182|acetaminophen|drug
DDI-DrugBank.d187.s6|49-57|isoniazid|drug
DDI-DrugBank.d187.s7|0-12|Carbamazepine|drug
DDI-DrugBank.d187.s7|15-23|Isoniazid|drug
DDI-DrugBank.d187.s7|60-72|carbamazepine|drug
DDI-DrugBank.d187.s7|91-95|serum|group
DDI-DrugBank.d187.s7|104-116|Carbamazepine|drug
DDI-DrugBank.d187.s7|186-194|isoniazid|drug
DDI-DrugBank.d187.s7|219-231|carbamazepine|drug
DDI-DrugBank.d187.s8|0-11|Ketoconazole|drug
DDI-DrugBank.d187.s8|39-50|Ketoconazole|drug
DDI-DrugBank.d187.s8|56-64|Isoniazid|drug
DDI-DrugBank.d187.s9|0-8|Phenytoin|drug
DDI-DrugBank.d187.s9|11-19|Isoniazid|drug
DDI-DrugBank.d187.s9|34-38|serum|group
DDI-DrugBank.d187.s9|50-58|phenytoin|drug
DDI-DrugBank.d187.s10|9-17|phenytoin|drug
DDI-DrugBank.d187.s11|15-15|A|brand
DDI-DrugBank.d187.s11|74-82|isoniazid|drug
DDI-DrugBank.d187.s11|88-99|theophylline|drug
DDI-DrugBank.d187.s11|137-148|theophylline|drug
DDI-DrugBank.d187.s11|213-221|isoniazid|drug
DDI-DrugBank.d187.s12|10-20|therapeutic|brand
DDI-DrugBank.d187.s12|31-42|theophylline|drug
DDI-DrugBank.d187.s12|54-65|theophylline|drug
DDI-DrugBank.d187.s12|67-71|serum|group
DDI-DrugBank.d187.s12|147-158|theophylline|drug
DDI-DrugBank.d187.s13|11-11|A|brand
DDI-DrugBank.d187.s13|120-128|isoniazid|drug
DDI-DrugBank.d187.s14|56-64|isoniazid|drug
DDI-MedLine.d227.s0|0-8|Ephedrine|drug
DDI-MedLine.d227.s0|49-63|dexmedetomidine|drug
DDI-MedLine.d227.s1|0-14|Dexmedetomidine|drug
DDI-MedLine.d227.s1|134-142|analgesic|brand
DDI-MedLine.d227.s2|4-10|purpose|brand
DDI-MedLine.d227.s2|75-83|ephedrine|drug
DDI-MedLine.d227.s6|0-5|saline|brand
DDI-MedLine.d227.s6|9-14|saline|brand
DDI-MedLine.d227.s6|17-25|ephedrine|drug
DDI-MedLine.d227.s6|42-47|saline|brand
DDI-MedLine.d227.s6|50-55|saline|brand
DDI-MedLine.d227.s6|59-73|dexmedetomidine|drug
DDI-MedLine.d227.s6|93-101|ephedrine|drug
DDI-MedLine.d227.s6|118-132|dexmedetomidine|drug
DDI-MedLine.d227.s7|64-78|dexmedetomidine|drug
DDI-MedLine.d227.s7|96-104|ephedrine|drug
DDI-MedLine.d227.s7|205-219|dexmedetomidine|drug
DDI-MedLine.d227.s8|7-10|same|drug
DDI-MedLine.d227.s8|53-67|dexmedetomidine|drug
DDI-MedLine.d227.s8|89-97|ephedrine|drug
DDI-MedLine.d227.s9|49-63|dexmedetomidine|drug
DDI-MedLine.d227.s9|70-78|ephedrine|drug
DDI-MedLine.d227.s9|183-197|dexmedetomidine|drug
DDI-MedLine.d227.s9|205-213|analgesic|brand
DDI-DrugBank.d289.s0|0-7|Bosentan|drug
DDI-DrugBank.d289.s0|27-32|CYP2C9|brand
DDI-DrugBank.d289.s0|38-43|CYP3A4|brand
DDI-DrugBank.d289.s1|72-79|bosentan|drug
DDI-DrugBank.d289.s2|0-7|Bosentan|drug
DDI-DrugBank.d289.s2|26-31|CYP3A4|brand
DDI-DrugBank.d289.s2|37-42|CYP2C9|brand
DDI-DrugBank.d289.s3|104-111|TRACLEER|brand
DDI-DrugBank.d289.s4|0-7|Bosentan|drug
DDI-DrugBank.d289.s4|50-52|CYP|brand
DDI-DrugBank.d289.s4|73-78|CYP1A2|brand
DDI-DrugBank.d289.s4|81-86|CYP2C9|brand
DDI-DrugBank.d289.s4|89-95|CYP2C19|brand
DDI-DrugBank.d289.s4|98-103|CYP2D6|brand
DDI-DrugBank.d289.s4|106-111|CYP3A4|brand
DDI-DrugBank.d289.s5|14-21|TRACLEER|brand
DDI-DrugBank.d289.s5|107-113|enzymes|group
DDI-DrugBank.d289.s6|158-165|bosentan|drug
DDI-DrugBank.d289.s6|203-213|Ortho-Novum|brand
DDI-DrugBank.d289.s6|245-257|norethindrone|brand
DDI-DrugBank.d289.s6|271-279|estradiol|drug
DDI-DrugBank.d289.s8|125-132|TRACLEER|brand
DDI-DrugBank.d289.s9|115-122|TRACLEER|brand
DDI-DrugBank.d289.s10|62-73|Cyclosporine|drug
DDI-DrugBank.d289.s10|75-75|A|brand
DDI-DrugBank.d289.s10|155-162|bosentan|drug
DDI-DrugBank.d289.s11|13-20|bosentan|drug
DDI-DrugBank.d289.s11|92-103|cyclosporine|drug
DDI-DrugBank.d289.s11|105-105|A|brand
DDI-DrugBank.d289.s12|34-41|bosentan|drug
DDI-DrugBank.d289.s12|47-58|cyclosporine|drug
DDI-DrugBank.d289.s12|60-60|A|brand
DDI-DrugBank.d289.s13|21-28|bosentan|drug
DDI-DrugBank.d289.s13|69-80|cyclosporine|drug
DDI-DrugBank.d289.s13|82-82|A|brand
DDI-DrugBank.d289.s13|87-92|CYP3A4|brand
DDI-DrugBank.d289.s14|0-9|Tacrolimus|drug
DDI-DrugBank.d289.s14|33-42|tacrolimus|drug
DDI-DrugBank.d289.s14|48-55|bosentan|drug
DDI-DrugBank.d289.s15|21-30|tacrolimus|drug
DDI-DrugBank.d289.s15|36-43|bosentan|drug
DDI-DrugBank.d289.s15|101-108|bosentan|drug
DDI-DrugBank.d289.s16|31-40|tacrolimus|drug
DDI-DrugBank.d289.s16|46-53|bosentan|drug
DDI-DrugBank.d289.s17|0-8|Glyburide|drug
DDI-DrugBank.d289.s17|125-133|glyburide|drug
DDI-DrugBank.d289.s18|45-52|TRACLEER|brand
DDI-DrugBank.d289.s18|58-66|glyburide|drug
DDI-DrugBank.d289.s19|21-28|bosentan|drug
DDI-DrugBank.d289.s19|69-77|glyburide|drug
DDI-DrugBank.d289.s20|29-36|bosentan|drug
DDI-DrugBank.d289.s21|0-7|Bosentan|drug
DDI-DrugBank.d289.s21|130-135|CYP2C9|brand
DDI-DrugBank.d289.s21|140-145|CYP3A4|brand
DDI-DrugBank.d289.s22|28-34|glucose|group
DDI-DrugBank.d289.s22|36-42|control|brand
DDI-DrugBank.d289.s23|0-11|Ketoconazole|drug
DDI-DrugBank.d289.s23|35-42|bosentan|drug
DDI-DrugBank.d289.s23|62-73|ketoconazole|drug
DDI-DrugBank.d289.s23|85-90|CYP3A4|brand
DDI-DrugBank.d289.s23|142-149|bosentan|drug
DDI-DrugBank.d289.s24|22-29|bosentan|drug
DDI-DrugBank.d289.s24|70-77|bosentan|drug
DDI-DrugBank.d289.s25|0-10|Simvastatin|drug
DDI-DrugBank.d289.s25|52-59|bosentan|drug
DDI-DrugBank.d289.s25|100-110|simvastatin|drug
DDI-DrugBank.d289.s25|115-120|CYP3A4|brand
DDI-DrugBank.d289.s26|29-36|bosentan|drug
DDI-DrugBank.d289.s27|0-7|Bosentan|drug
DDI-DrugBank.d289.s27|111-116|CYP3A4|brand
DDI-DrugBank.d289.s27|127-136|lovastatin|drug
DDI-DrugBank.d289.s27|142-153|atorvastatin|drug
DDI-DrugBank.d289.s29|15-20|CYP3A4|brand
DDI-DrugBank.d289.s29|54-64|cholesterol|drug
DDI-DrugBank.d289.s29|89-96|TRACLEER|brand
DDI-DrugBank.d289.s30|0-7|Warfarin|drug
DDI-DrugBank.d289.s30|31-38|bosentan|drug
DDI-DrugBank.d289.s30|123-128|CYP2C9|brand
DDI-DrugBank.d289.s30|159-164|CYP3A4|brand
DDI-DrugBank.d289.s31|55-62|bosentan|drug
DDI-DrugBank.d289.s31|68-75|warfarin|drug
DDI-DrugBank.d289.s31|170-172|INR|brand
DDI-DrugBank.d289.s31|177-184|warfarin|drug
DDI-DrugBank.d289.s31|262-269|warfarin|drug
DDI-DrugBank.d289.s31|312-314|INR|brand
DDI-DrugBank.d289.s32|0-6|Digoxin|drug
DDI-DrugBank.d289.s32|9-18|Nimodipine|drug
DDI-DrugBank.d289.s32|24-31|Losartan|drug
DDI-DrugBank.d289.s32|34-41|Bosentan|drug
DDI-DrugBank.d289.s32|96-102|digoxin|drug
DDI-DrugBank.d289.s32|108-117|nimodipine|drug
DDI-DrugBank.d289.s32|124-131|losartan|drug
DDI-DrugBank.d289.s32|179-186|bosentan|drug
DDI-DrugBank.d5.s0|59-68|WELLBUTRIN|brand
DDI-DrugBank.d5.s0|187-196|WELLBUTRIN|brand
DDI-DrugBank.d5.s1|8-16|bupropion|drug
DDI-DrugBank.d5.s2|31-39|bupropion|drug
DDI-DrugBank.d5.s2|93-98|CYP2B6|brand
DDI-DrugBank.d5.s3|63-72|WELLBUTRIN|brand
DDI-DrugBank.d5.s3|100-105|CYP2B6|brand
DDI-DrugBank.d5.s3|124-135|orphenadrine|drug
DDI-DrugBank.d5.s3|141-156|cyclophosphamide|drug
DDI-DrugBank.d5.s4|38-46|bupropion|drug
DDI-DrugBank.d5.s4|97-100|P450|drug
DDI-DrugBank.d5.s5|45-54|cimetidine|drug
DDI-DrugBank.d5.s5|83-91|bupropion|drug
DDI-DrugBank.d5.s6|97-106|cimetidine|drug
DDI-DrugBank.d5.s6|133-141|bupropion|drug
DDI-DrugBank.d5.s7|49-51|AUC|brand
DDI-DrugBank.d5.s8|77-85|bupropion|drug
DDI-DrugBank.d5.s8|94-106|carbamazepine|drug
DDI-DrugBank.d5.s8|109-121|phenobarbital|drug
DDI-DrugBank.d5.s8|124-132|phenytoin|drug
DDI-DrugBank.d5.s9|27-35|bupropion|drug
DDI-DrugBank.d5.s9|76-82|enzymes|group
DDI-DrugBank.d5.s10|50-58|bupropion|drug
DDI-DrugBank.d5.s11|81-85|blood|group
DDI-DrugBank.d5.s12|32-39|P450IID6|brand
DDI-DrugBank.d5.s12|42-47|CYP2D6|brand
DDI-DrugBank.d5.s12|194-199|CYP2D6|brand
DDI-DrugBank.d5.s13|9-17|bupropion|drug
DDI-DrugBank.d5.s13|57-65|bupropion|drug
DDI-DrugBank.d5.s13|110-115|CYP2D6|brand
DDI-DrugBank.d5.s14|92-97|CYP2D6|brand
DDI-DrugBank.d5.s14|125-133|bupropion|drug
DDI-DrugBank.d5.s14|198-208|desipramine|drug
DDI-DrugBank.d5.s14|230-232|AUC|brand
DDI-DrugBank.d5.s14|247-257|desipramine|drug
DDI-DrugBank.d5.s15|66-74|bupropion|drug
DDI-DrugBank.d5.s16|19-27|bupropion|drug
DDI-DrugBank.d5.s16|61-66|CYP2D6|brand
DDI-DrugBank.d5.s17|32-40|bupropion|drug
DDI-DrugBank.d5.s17|77-82|CYP2D6|brand
DDI-DrugBank.d5.s17|135-147|nortriptyline|drug
DDI-DrugBank.d5.s17|150-159|imipramine|drug
DDI-DrugBank.d5.s17|162-172|desipramine|drug
DDI-DrugBank.d5.s17|175-184|paroxetine|drug
DDI-DrugBank.d5.s17|187-196|fluoxetine|drug
DDI-DrugBank.d5.s17|199-208|sertraline|drug
DDI-DrugBank.d5.s17|234-244|haloperidol|drug
DDI-DrugBank.d5.s17|247-257|risperidone|drug
DDI-DrugBank.d5.s17|260-271|thioridazine|drug
DDI-DrugBank.d5.s17|296-305|metoprolol|drug
DDI-DrugBank.d5.s17|318-319|1C|brand
DDI-DrugBank.d5.s17|344-354|propafenone|drug
DDI-DrugBank.d5.s17|357-366|flecainide|drug
DDI-DrugBank.d5.s18|3-11|bupropion|drug
DDI-DrugBank.d5.s18|39-45|regimen|brand
DDI-DrugBank.d5.s18|100-105|CYP2D6|brand
DDI-DrugBank.d5.s18|145-152|original|brand
DDI-DrugBank.d5.s18|248-258|therapeutic|brand
DDI-DrugBank.d5.s19|0-2|MAO|brand
DDI-DrugBank.d5.s19|74-82|bupropion|drug
DDI-DrugBank.d5.s19|103-105|MAO|brand
DDI-DrugBank.d5.s19|117-126|phenelzine|drug
DDI-DrugBank.d5.s20|0-7|Levodopa|drug
DDI-DrugBank.d5.s20|13-22|Amantadine|drug
DDI-DrugBank.d5.s20|119-127|bupropion|drug
DDI-DrugBank.d5.s20|154-161|levodopa|drug
DDI-DrugBank.d5.s20|166-175|amantadine|drug
DDI-DrugBank.d5.s21|18-27|WELLBUTRIN|brand
DDI-DrugBank.d5.s21|66-73|levodopa|drug
DDI-DrugBank.d5.s21|78-87|amantadine|drug
DDI-DrugBank.d5.s22|65-74|WELLBUTRIN|brand
DDI-DrugBank.d5.s22|133-144|theophylline|drug
DDI-DrugBank.d5.s22|156-163|steroids|group
DDI-DrugBank.d5.s24|0-7|Nicotine|drug
DDI-DrugBank.d5.s25|0-6|Alcohol|brand
DDI-DrugBank.d5.s25|114-120|alcohol|brand
DDI-DrugBank.d5.s25|162-168|alcohol|brand
DDI-DrugBank.d5.s25|192-201|WELLBUTRIN|brand
DDI-DrugBank.d5.s26|19-25|alcohol|brand
DDI-DrugBank.d5.s26|49-58|WELLBUTRIN|brand
DDI-DrugBank.d5.s26|125-126|CI|brand
DDI-DrugBank.d5.s26|128-144|CONTRAINDICATIONS|brand
DDI-MedLine.d33.s1|6-8|now|brand
DDI-MedLine.d33.s2|126-132|control|brand
DDI-MedLine.d33.s3|33-33|I|brand
DDI-MedLine.d33.s5|164-166|now|brand
DDI-DrugBank.d297.s0|61-67|ORENCIA|brand
DDI-DrugBank.d297.s1|50-52|MTX|brand
DDI-DrugBank.d297.s1|63-77|corticosteroids|group
DDI-DrugBank.d297.s1|84-86|TNF|drug
DDI-DrugBank.d297.s1|122-130|abatacept|drug
DDI-DrugBank.d297.s2|28-29|RA|drug
DDI-DrugBank.d297.s2|115-121|ORENCIA|brand
DDI-DrugBank.d297.s2|124-126|MTX|brand
DDI-DrugBank.d297.s2|137-151|corticosteroids|group
DDI-DrugBank.d297.s2|154-156|TNF|drug
DDI-DrugBank.d297.s2|175-186|azathioprine|drug
DDI-DrugBank.d297.s2|189-199|chloroquine|drug
DDI-DrugBank.d297.s2|202-205|gold|group
DDI-DrugBank.d297.s2|208-225|hydroxychloroquine|drug
DDI-DrugBank.d297.s2|228-238|leflunomide|drug
DDI-DrugBank.d297.s2|241-253|sulfasalazine|drug
DDI-DrugBank.d297.s2|260-267|anakinra|drug
DDI-DrugBank.d297.s3|31-33|TNF|drug
DDI-DrugBank.d297.s3|51-57|ORENCIA|brand
DDI-DrugBank.d297.s3|179-181|TNF|drug
DDI-DrugBank.d297.s4|24-30|ORENCIA|brand
DDI-DrugBank.d297.s4|36-38|TNF|drug
DDI-DrugBank.d297.s5|70-76|ORENCIA|brand
DDI-DrugBank.d297.s5|109-116|anakinra|drug
DDI-MedLine.d136.s0|35-42|solvents|group
DDI-MedLine.d136.s0|143-150|solvents|group
DDI-MedLine.d136.s1|66-73|solvents|group
